order_id;customer_id
1;14
2;72
3;82
4;143
5;163
6;221
7;246
8;250
9;297
10;307
11;310
12;336
13;380
14;385
15;499
16;529
17;590
18;596
19;615
20;668
21;683
22;687
23;740
24;771
25;817
26;870
27;921
28;934
29;962
30;1026
31;1076
32;1095
33;1141
34;1153
35;1168
36;1170
37;1175
38;1229
39;1266
40;1343
41;1464
42;1469
43;1476
44;1496
45;1519
46;1570
47;1627
48;1730
49;1913
50;1968
51;1981
52;2011
53;2087
54;2141
55;2148
56;2236
57;2248
58;2262
59;2302
60;2395
61;2497
62;2567
63;2570
64;2572
65;2628
66;2652
67;2656
68;2688
69;2840
70;2849
71;2871
72;2933
73;2993
74;3051
75;3266
76;3269
77;3287
78;3299
79;3305
80;3316
81;3350
82;3403
83;3406
84;3482
85;3568
86;3680
87;3684
88;3740
89;3754
90;3832
91;3848
92;3871
93;3909
94;3924
95;3949
96;3970
97;3973
98;4063
99;4132
100;4154
101;4186
102;4204
103;4206
104;4242
105;4248
106;4310
107;4353
108;4359
109;4470
110;4479
111;4620
112;4650
113;4658
114;4660
115;4668
116;4678
117;4697
118;4700
119;4750
120;4773
121;4784
122;4791
123;4804
124;4842
125;4859
126;4888
127;4925
128;4973
129;4980
130;5003
131;5020
132;5025
133;5033
134;5060
135;5096
136;5117
137;5122
138;5124
139;5135
140;5157
141;5163
142;5187
143;5197
144;5201
145;5208
146;5218
147;5224
148;5227
149;5246
150;5248
151;5318
152;5322
153;5779
154;5850
155;6057
156;6191
157;6319
158;6422
159;6659
160;6692
161;6718
162;6791
163;6825
164;6863
165;6905
166;6966
167;7584
168;7644
169;8004
170;8085
171;8231
172;30
173;105
174;120
175;160
176;207
177;225
178;245
179;255
180;260
181;292
182;371
183;375
184;377
185;402
186;439
187;458
188;462
189;501
190;515
191;538
192;545
193;548
194;596
195;605
196;617
197;657
198;669
199;675
200;696
201;786
202;966
203;970
204;988
205;997
206;1020
207;1023
208;1040
209;1049
210;1090
211;1111
212;1117
213;1142
214;1145
215;1252
216;1256
217;1260
218;1279
219;1308
220;1319
221;1336
222;1337
223;1357
224;1409
225;1465
226;1496
227;1517
228;1529
229;1663
230;1686
231;1726
232;1731
233;1833
234;2027
235;2127
236;2259
237;2335
238;2381
239;2422
240;2502
241;2571
242;2739
243;2858
244;2896
245;2921
246;2958
247;2973
248;3057
249;3111
250;3166
251;3211
252;3245
253;3280
254;3288
255;3366
256;3382
257;3436
258;3488
259;3541
260;3572
261;3604
262;3647
263;3702
264;3720
265;3768
266;3796
267;3808
268;3822
269;3853
270;3885
271;3925
272;3942
273;3976
274;3990
275;4204
276;4257
277;4296
278;4302
279;4337
280;4343
281;4397
