customer_id;home_location_id;name;age;income;loyalty_points;latitude;longitude
1;1;Customer 1;18;115689;23;55,4949;9,4775
2;1;Customer 2;18;112749;41;55,4956;9,4706
3;1;Customer 3;21;97761;21;55,4837;9,4703
4;1;Customer 4;22;104916;45;55,4912;9,4701
5;1;Customer 5;21;114491;11;55,4892;9,4628
6;1;Customer 6;18;120871;33;55,4847;9,4775
7;1;Customer 7;19;122083;26;55,4831;9,4846
8;1;Customer 8;19;120094;5;55,4798;9,4632
9;1;Customer 9;19;122696;2;55,4835;9,4604
10;1;Customer 10;23;104624;17;55,4832;9,4756
11;1;Customer 11;22;110113;12;55,4985;9,4792
12;1;Customer 12;18;107830;49;55,4934;9,4734
13;1;Customer 13;23;104650;13;55,5103;9,4838
14;1;Customer 14;18;101939;12;55,4918;9,4832
15;1;Customer 15;23;123143;41;55,496;9,4836
16;1;Customer 16;19;95975;23;55,4933;9,4686
17;1;Customer 17;24;99871;28;55,4963;9,4789
18;1;Customer 18;21;92166;40;55,5033;9,4687
19;1;Customer 19;22;102167;13;55,4912;9,4804
20;1;Customer 20;20;124812;16;55,4972;9,4634
21;1;Customer 21;18;110564;39;55,4885;9,4729
22;1;Customer 22;19;114890;14;55,4985;9,4661
23;1;Customer 23;25;101560;34;55,5039;9,4743
24;1;Customer 24;23;103785;12;55,4786;9,4621
25;1;Customer 25;22;113515;12;55,4841;9,4719
26;1;Customer 26;18;113081;16;55,4958;9,4656
27;1;Customer 27;22;116860;42;55,4834;9,4774
28;1;Customer 28;18;108091;27;55,4851;9,4644
29;1;Customer 29;21;118783;45;55,4948;9,479
30;1;Customer 30;19;109740;37;55,488;9,4784
31;1;Customer 31;20;107230;32;55,4828;9,4671
32;1;Customer 32;20;110731;25;55,491;9,4617
33;1;Customer 33;18;123153;36;55,489;9,4703
34;1;Customer 34;26;134023;42;55,4905;9,4835
35;1;Customer 35;18;119632;2;55,489;9,4583
36;1;Customer 36;18;98288;15;55,4774;9,4857
37;1;Customer 37;19;101886;25;55,4774;9,4788
38;1;Customer 38;18;114031;11;55,4904;9,4722
39;1;Customer 39;18;106524;12;55,4875;9,467
40;1;Customer 40;24;128087;4;55,4955;9,4856
41;1;Customer 41;20;107103;44;55,4834;9,4651
42;1;Customer 42;20;111915;8;55,4939;9,4806
43;1;Customer 43;20;113361;5;55,5025;9,4738
44;1;Customer 44;21;128232;8;55,5049;9,463
45;1;Customer 45;20;114162;36;55,4923;9,4766
46;1;Customer 46;23;126200;11;55,4966;9,4653
47;1;Customer 47;20;106246;28;55,4916;9,462
48;1;Customer 48;20;119643;33;55,5072;9,4758
49;1;Customer 49;18;106344;9;55,4885;9,4824
50;1;Customer 50;25;105282;2;55,4907;9,4716
51;1;Customer 51;21;101321;42;55,4828;9,4639
52;1;Customer 52;18;115173;26;55,4953;9,4583
53;1;Customer 53;18;92940;17;55,5013;9,4668
54;1;Customer 54;20;116290;13;55,4869;9,4651
55;1;Customer 55;23;108173;42;55,5012;9,4806
56;1;Customer 56;18;116024;46;55,4927;9,4679
57;1;Customer 57;18;108862;11;55,4895;9,47
58;1;Customer 58;22;96246;23;55,5031;9,4697
59;1;Customer 59;20;95461;0;55,4892;9,4564
60;1;Customer 60;19;104321;50;55,4999;9,464
61;1;Customer 61;18;118235;42;55,4894;9,4771
62;1;Customer 62;23;93492;42;55,4904;9,4673
63;1;Customer 63;24;120021;14;55,4924;9,4845
64;1;Customer 64;25;114500;28;55,4951;9,4662
65;1;Customer 65;20;121995;29;55,489;9,4647
66;1;Customer 66;20;105778;24;55,5016;9,4699
67;1;Customer 67;24;118053;6;55,486;9,4737
68;1;Customer 68;18;113154;49;55,4936;9,4646
69;1;Customer 69;21;109988;4;55,4962;9,4853
70;1;Customer 70;24;114689;46;55,4939;9,4856
71;1;Customer 71;18;107105;25;55,4935;9,4803
72;1;Customer 72;18;109639;17;55,5062;9,4747
73;1;Customer 73;19;104193;20;55,487;9,4719
74;1;Customer 74;23;131815;47;55,4841;9,4744
75;1;Customer 75;18;113267;5;55,5059;9,4642
76;1;Customer 76;22;121160;24;55,5065;9,4709
77;1;Customer 77;21;113187;27;55,4891;9,4631
78;1;Customer 78;19;136458;21;55,4941;9,4836
79;1;Customer 79;19;103672;38;55,4961;9,4606
80;1;Customer 80;23;103500;39;55,4804;9,4801
